SS,Site,Depth,Depth,Tide,Tide
SS,Site,Min,Max,Min,Max
A-10.2,0012,0.4,1.4,-0.31,0.35
A-10.2,0013,0.3,1.0,-0.31,0.35
A-10.2,0014,0.7,1.5,-0.31,0.35
A-10.2,0015,0.3,2.0,-0.31,0.35
A-10.2,0016_R,0.4,4.1,-0.31,0.35
A-10.2,0017,0.4,1.0,-0.31,0.35
A-10.2,0018,0.4,0.9,-0.31,0.32
A-11,0035,0.5,5.8,-0.50,0.36
A-11,0039,0.9,1.5,-0.50,0.36
A-11,0043,0.6,5.2,-0.50,0.36
A-11,0047,0.5,3.8,-0.50,0.36
A-11,0048,2.1,2.8,-0.50,0.36
A-11,0049,2.2,5.2,-0.50,0.36
A-12.1,0013,1.6,3.9,-0.56,0.39
A-12.1,0014,2.0,5.3,-0.56,0.39
A-12.1,0015,1.8,5.7,-0.56,0.39
A-12.1,0016,2.1,5.1,-0.56,0.39
A-12.1,0017,3.9,5.7,-0.56,0.39
A-12.1,0018,2.5,6.5,-0.56,0.39
A-12.1,0019,2.8,5.3,-0.56,0.39
A-12.1,0020,2.8,6.1,-0.56,0.39
A-12.1,0021,3.4,5.0,-0.56,0.39
A-12.1,0022,1.5,4.6,-0.56,0.39
A-12.1,0023,1.2,3.2,-0.56,0.39
A-12.1,0024,2.8,4.6,-0.56,0.39
A-12.1,0025,2.5,4.0,-0.56,0.39
A-12.1,0026,1.1,4.2,-0.56,0.39
A-12.2,0007,3.4,5.6,-0.57,0.39
A-12.2,0008,2.6,3.6,-0.57,0.39
A-12.2,0009,3.0,4.3,-0.57,0.39
A-12.2,0010,3.6,5.4,-0.57,0.39
A-12.2,0011,3.8,4.9,-0.57,0.39
A-12.2,0012,1.2,4.0,-0.57,0.39
A-13,0001_R,1.0,2.7,-0.56,0.37
A-13,0002,2.5,4.5,-0.56,0.37
A-13,0003,2.6,6.1,-0.56,0.37
A-13,0004,3.0,7.4,-0.56,0.37
A-13,0005,2.0,4.9,-0.56,0.37
A-13,0006,2.4,8.0,-0.56,0.37
A-13,0027,2.7,4.9,-0.56,0.37
A-13,0028,0.5,1.5,-0.50,0.33
A-14.1,0001,0.4,0.7,-0.52,0.35
A-14.1,0004,0.3,0.7,-0.52,0.35
A-14.1,0005,1.0,2.0,-0.52,0.35
A-14.1,0006,4.9,13.9,-0.52,0.35
A-14.1,0008,0.5,5.0,-0.52,0.35
A-14.1,0009_R,0.8,3.8,-0.52,0.35
A-14.1,0010_R,0.5,1.5,-0.52,0.35
A-14.1,0011_R,0.5,2.2,-0.52,0.35
A-14.1,0012_R,0.3,3.0,-0.52,0.35
A-14.1,0013,0.7,1.6,-0.52,0.35
A-14.1,0014,2.5,3.6,-0.52,0.35
A-14.1,0015,0.5,1.0,-0.52,0.35
A-14.1,0016,0.6,1.1,-0.52,0.35
A-14.1,0017,0.5,0.9,-0.52,0.35
A-14.1,0018,0.7,1.3,-0.52,0.35
A-14.1,0019,0.8,1.6,-0.52,0.35
A-14.1,0020,1.0,1.5,-0.52,0.35
A-14.1,0021,0.5,0.8,-0.52,0.35
A-14.1,0022,0.9,1.6,-0.52,0.35
A-14.1,0023,1.0,1.5,-0.52,0.35
A-14.2,0037,0.4,1.3,-0.32,0.36
A-14.2,0037,0.4,1.3,-0.32,0.36
A-14.2,0038,0.3,6.5,-0.32,0.36
A-14.2,0039,0.3,1.4,-0.32,0.36
A-14.2,0040,0.3,1.2,-0.32,0.36
A-14.2,0041,0.6,1.4,-0.32,0.36
A-14.2,0042,0.4,0.9,-0.32,0.36
A-14.2,0042,0.4,0.9,-0.32,0.36
A-14.2,0043,0.3,1.4,-0.32,0.35
A-14.2,0059,1.0,4.7,-0.32,0.36
A-14.2,0060,0.9,1.7,-0.32,0.36
A-14.2,0061,0.8,2.0,-0.32,0.36
A-14.3.1E,0050_ZA00PC2,5.5,6.4,-0.30,0.35
A-14.3.1E,0057_ZA00PC2,5.0,5.9,-0.32,0.35
A-14.3.1E,0058_ZA00PC2,0.4,7.0,-0.30,0.35
A-14.3.1E,0058_ZA11,0.4,7.0,-0.29,0.31
A-14.3.1E,0062_ZA00PC2,2.4,3.5,-0.32,0.35
A-14.3.1E,0071_ZA00PC2,5.0,5.9,-0.30,0.35
A-14.3.1E,0072_ZA00PC2,4.5,5.7,-0.32,0.35
A-14.3.1E,0078,4.8,5.9,-0.30,0.35
A-14.3.1E,0080,6.1,6.7,-0.32,0.33
A-14.3.2E,0051_ZA00PC2,3.2,6.7,-0.56,0.37
A-14.3.2E,0064,3.5,4.6,-0.56,0.37
A-14.3.2E,0065_ZA00PC2,4.8,5.9,-0.56,0.37
A-14.3.2E,0066_ZA00PC2,4.0,5.2,-0.56,0.37
A-14.3.2E,0066_ZA00PC2,4.0,5.2,-0.56,0.37
A-14.3.2E,0082,2.3,6.6,-0.54,0.37
A-14.3.2E,0083,5.8,6.4,-0.54,0.37
A-14.3.2E,0084,5.1,5.9,-0.54,0.37
A-14.3.3E,0063_ZA00PC2,4.1,5.2,-0.56,0.37
